
#ScanTableParameter1
&kV=40	&mA=40
&ScanAxis=M	&ScanMode=Stepscan	
&Start=10.000	&End=120.000	&Step=0.01000	&Time=4.0	&Counts=0
&Speed=0.1	&Area=0.0	&Accu=1
&NoAxis=5
&Axis=O	&Task=GetPosition	&Pos=20.66900	&Ampl=0.000	&Speed=0.0
&Axis=T	&Task=GetPosition	&Pos=21.00600	&Ampl=0.000	&Speed=0.0
&Axis=C	&Task=GetPosition	&Pos=-9.00000	&Ampl=0.000	&Speed=0.0
&Axis=P	&Task=GetPosition	&Pos=0.00000	&Ampl=0.000	&Speed=0.0
&Axis=AC	&Task=GetPosition	&Pos=1.00000	&Ampl=0.000	&Speed=0.0

#Values1
&NoValues=11001
  10.00000	    48.250	
  10.01000	    53.500	
  10.02000	    47.750	
  10.03000	    57.750	
  10.04000	    52.250	
  10.05000	    60.750	
  10.06000	    52.750	
  10.07000	    53.500	
  10.08000	    56.500	
  10.09000	    54.750	
  10.10000	    53.750	
  10.11000	    53.000	
  10.12000	    53.750	
  10.13000	    52.250	
  10.14000	    49.000	
  10.15000	    53.750	
  10.16000	    59.250	
  10.17000	    54.000	
  10.18000	    50.000	
  10.19000	    56.750	
  10.20000	    53.500	
  10.21000	    46.750	
  10.22000	    52.750	
  10.23000	    43.500	
  10.24000	    53.000	
  10.25000	    49.250	
  10.26000	    52.500	
  10.27000	    47.250	
  10.28000	    51.250	
  10.29000	    52.750	
  10.30000	    50.000	
  10.31000	    59.000	
  10.32000	    51.250	
  10.33000	    49.750	
  10.34000	    49.250	
  10.35000	    45.500	
  10.36000	    49.250	
  10.37000	    47.000	
  10.38000	    50.500	
  10.39000	    46.500	
  10.40000	    46.250	
  10.41000	    48.750	
  10.42000	    45.500	
  10.43000	    51.250	
  10.44000	    45.500	
  10.45000	    56.500	
  10.46000	    50.000	
  10.47000	    54.750	
  10.48000	    48.500	
  10.49000	    44.250	
  10.50000	    45.000	
  10.51000	    51.000	
  10.52000	    46.500	
  10.53000	    50.000	
  10.54000	    62.000	
  10.55000	    48.500	
  10.56000	    56.000	
  10.57000	    47.000	
  10.58000	    47.750	
  10.59000	    46.500	
  10.60000	    54.500	
  10.61000	    52.750	
  10.62000	    50.500	
  10.63000	    52.500	
  10.64000	    43.000	
  10.65000	    45.750	
  10.66000	    48.250	
  10.67000	    48.500	
  10.68000	    41.250	
  10.69000	    45.750	
  10.70000	    48.750	
  10.71000	    47.500	
  10.72000	    47.250	
  10.73000	    52.250	
  10.74000	    45.250	
  10.75000	    43.750	
  10.76000	    50.500	
  10.77000	    47.500	
  10.78000	    50.250	
  10.79000	    47.000	
  10.80000	    57.750	
  10.81000	    49.250	
  10.82000	    44.000	
  10.83000	    46.000	
  10.84000	    49.000	
  10.85000	    47.750	
  10.86000	    44.000	
  10.87000	    41.500	
  10.88000	    49.000	
  10.89000	    47.000	
  10.90000	    52.750	
  10.91000	    50.750	
  10.92000	    44.500	
  10.93000	    43.000	
  10.94000	    49.500	
  10.95000	    40.500	
  10.96000	    50.750	
  10.97000	    48.000	
  10.98000	    44.000	
  10.99000	    42.750	
  11.00000	    48.250	
  11.01000	    52.250	
  11.02000	    49.500	
  11.03000	    51.000	
  11.04000	    47.000	
  11.05000	    44.500	
  11.06000	    49.250	
  11.07000	    42.000	
  11.08000	    43.750	
  11.09000	    40.500	
  11.10000	    43.500	
  11.11000	    50.250	
  11.12000	    43.000	
  11.13000	    46.250	
  11.14000	    46.000	
  11.15000	    46.500	
  11.16000	    51.000	
  11.17000	    50.750	
  11.18000	    47.500	
  11.19000	    48.500	
  11.20000	    44.000	
  11.21000	    46.750	
  11.22000	    48.500	
  11.23000	    47.500	
  11.24000	    41.500	
  11.25000	    42.250	
  11.26000	    44.000	
  11.27000	    46.000	
  11.28000	    46.000	
  11.29000	    41.250	
  11.30000	    48.500	
  11.31000	    42.750	
  11.32000	    45.000	
  11.33000	    46.000	
  11.34000	    47.500	
  11.35000	    44.750	
  11.36000	    46.500	
  11.37000	    42.250	
  11.38000	    47.750	
  11.39000	    46.250	
  11.40000	    42.000	
  11.41000	    49.250	
  11.42000	    42.000	
  11.43000	    46.250	
  11.44000	    42.750	
  11.45000	    43.250	
  11.46000	    45.000	
  11.47000	    45.250	
  11.48000	    45.750	
  11.49000	    37.500	
  11.50000	    44.750	
  11.51000	    42.500	
  11.52000	    49.500	
  11.53000	    43.250	
  11.54000	    41.000	
  11.55000	    39.750	
  11.56000	    45.250	
  11.57000	    46.750	
  11.58000	    41.750	
  11.59000	    49.000	
  11.60000	    42.000	
  11.61000	    40.750	
  11.62000	    37.000	
  11.63000	    42.250	
  11.64000	    45.500	
  11.65000	    51.250	
  11.66000	    40.750	
  11.67000	    44.000	
  11.68000	    45.250	
  11.69000	    38.500	
  11.70000	    42.500	
  11.71000	    43.000	
  11.72000	    39.000	
  11.73000	    46.000	
  11.74000	    34.250	
  11.75000	    45.750	
  11.76000	    38.750	
